symbol,low_log2fold,low_cpm
Clnk,0,1
Aicda,0,1
Slfnl1,0,1
Lcn4,0,1
Scrn1,0,1
4930578C19Rik,0,1
Prss29,0,1
Olfr393,0,1
Vmn1r135,0,1
Gm5169,0,1
Krt6b,0,1
AV320801,0,1
Ppp1r14d,0,1
Grpr,0,1
Vmn1r163,0,1
H1foo,0,1
Kcnj11,0,1
Hes2,0,1
Casr,0,1
Cldn9,0,1
Best2,0,1
4921536K21Rik,0,1
Gm16381,0,1
Tm4sf19,0,1
Gm15023,0,1
Mc2r,0,1
Ap3b2,0,1
Scgb1a1,0,1
Tgm5,0,1
S100a2,0,1
Sgcd,0,1
1700018B08Rik,0,1
Btn1a1,0,1
Lrrc10,0,1
1700019N19Rik,0,1
Olfr1511,0,1
Myocd,0,1
Dgat2l6,0,1
Tlx1,0,1
Rbp3,0,1
Myl2,0,1
Ascl1,0,1
Gm15091,0,1
Hyal6,0,1
L3mbtl1,0,1
Spag6,0,1
Lrrc34,0,1
Lrrc36,0,1
Spem1,0,1
Usp13,0,1
Gm5820,0,1
Tex19.2,0,1
Gm4907,0,1
Atp2c2,0,1
Vrtn,0,1
Gcm2,0,1
Dgkk,0,1
Rhov,0,1
Siah3,0,1
Dppa4,0,1
Dusp27,0,1
Zic2,0,1
Zmat4,0,1
Ifitm7,0,1
Cetn1,0,1
Nek10,0,1
Hecw1,0,1
Nlrp4f,0,1
Myo3b,0,1
2410004P03Rik,0,1
Ascl2,0,1
Tpsg1,0,1
Gm4858,0,1
Slc28a3,0,1
Gm5111,0,1
Synb,0,1
Dach2,0,1
Msx2,0,1
Gml,0,1
Prap1,0,1
Gtsf1,0,1
Trpv6,0,1
Catsper1,0,1
Hrc,0,1
Crisp3,0,1
Trank1,0,1
Slitrk1,0,1
Pde11a,0,1
Mmel1,0,1
Mlana,0,1
9330159F19Rik,0,1
AI593442,0,1
Kif6,0,1
Otoa,0,1
Npw,0,1
Syce1,0,1
Gm4201,0,1
Gm3139,0,1
Olfr90,0,1
Eef1a2,0,1
Ccdc135,0,1
Ccdc42,0,1
S100a7a,0,1
Dpy19l2,0,1
Ccdc60,0,1
Apol11a,0,1
Fgf6,0,1
Fmo9,0,1
Myom2,0,1
Ccdc81,0,1
Gm4141,0,1
Gadl1,0,1
Gjd3,0,1
Skor1,0,1
Glra2,0,1
Gm14151,0,1
Asb17,0,1
Rag2,0,1
Als2cr11,0,1
Vmn2r19,0,1
Ptgdr,0,1
Myh7,0,1
Psg25,0,1
Six4,0,1
Mdh1b,0,1
Ceacam20,0,1
Sprr2d,0,1
Mageb16,0,1
Sstr4,0,1
Mageb3,0,1
Tgm3,0,1
Chrna5,0,1
Chrnb4,0,1
Tecta,0,1
Nr5a1,0,1
Cytl1,0,1
Cnih3,0,1
Vmn2r34,0,1
Gm14483,0,1
Gm14478,0,1
Ina,0,1
Atp6v1g3,0,1
Kcnmb2,0,1
Stk33,0,1
Cntnap5c,0,1
Olig3,0,1
Krt85,0,1
Epgn,0,1
Crybb2,0,1
Tbata,0,1
Hpcal4,0,1
Fam135b,0,1
Sh3bgr,0,1
Prss51,0,1
Tmem30c,0,1
Btnl10,0,1
Tekt5,0,1
Spink13,0,1
Defb25,0,1
Cldn11,0,1
Higd1b,0,1
Gria1,0,1
Tulp1,0,1
Sst,0,1
Kcnu1,0,1
Samd12,0,1
Nanos3,0,1
Rgs13,0,1
Rimklb,0,1
Rnf183,0,1
Rlbp1,0,1
Fam163b,0,1
Klhl30,0,1
Olfr525,0,1
Gpr161,0,1
Cd209e,0,1
Pmp2,0,1
4930444G20Rik,0,1
Zg16,0,1
Cd209g,0,1
Pla2g2e,0,1
E030019B06Rik,0,1
Trim58,0,1
Tsks,0,1
Fam179a,0,1
Gm8787,0,1
Gm884,0,1
Gjb4,0,1
Adamts8,0,1
Nipal4,0,1
Mboat4,0,1
Vmn2r37,0,1
1700020A23Rik,0,1
D10Bwg1379e,0,1
Frmd3,0,1
Rtl1,0,1
Mt4,0,1
Nrsn2,0,1
Ucp1,0,1
Ucn2,0,1
1700093K21Rik,0,1
Lmo3,0,1
Olfr531,0,1
Aurkc,0,1
Cngb3,0,1
4933405L10Rik,0,1
Crhr1,0,1
Clec2l,0,1
Olfr284,0,1
Tmem74,0,1
9030624G23Rik,0,1
Il2,0,1
Pla2g10,0,1
Nwd1,0,1
Fev,0,1
Sfrp4,0,1
Cd109,0,1
Gm9125,0,1
Cacng4,0,1
1810065E05Rik,0,1
Rorb,0,1
Gpr1,0,1
Rnf112,0,1
Zcchc5,0,1
Gad2,0,1
Edil3,0,1
Scn9a,0,1
Mrgprb3,0,1
Adam3,0,1
Atp12a,0,1
Chgb,0,1
Nrl,0,1
Slc22a14,0,1
Gbx1,0,1
Hoxa9,0,1
Irgc1,0,1
Lypd3,0,1
1700011E24Rik,0,1
Prss55,0,1
Gap43,0,1
Arhgdig,0,1
Khdc1a,0,1
Pdia2,0,1
Kctd4,0,1
Slc16a8,0,1
Catsper4,0,1
Pnoc,0,1
Vmn1r52,0,1
Klk9,0,1
Fgf17,0,1
B020004J07Rik,0,1
Zp3,0,1
Hyal5,0,1
Lrrtm3,0,1
Clca5,0,1
Alx4,0,1
1700022I11Rik,0,1
Otof,0,1
Mmp21,0,1
Gstt4,0,1
Ang4,0,1
Spam1,0,1
1700008I05Rik,0,1
Gpr22,0,1
Ccna1,0,1
Ccdc27,0,1
Dapl1,0,1
Svs1,0,1
Olfr1417,0,1
Defb14,0,1
Grem1,0,1
Fer1l4,0,1
4930558K02Rik,0,1
Lrguk,0,1
Fa2h,0,1
Il21,0,1
Myh8,0,1
Usp44,0,1
Olfr267,0,1
Asphd1,0,1
Lrrc69,0,1
Pax9,0,1
1700125H20Rik,0,1
Gm5294,0,1
Nps,0,1
Tfap2c,0,1
A630023A22Rik,0,1
Vmn2r40,0,1
Vmn2r41,0,1
Cel,0,1
Myl1,0,1
4921504E06Rik,0,1
Acer1,0,1
Vmn2r44,0,1
Myt1l,0,1
Vmn2r48,0,1
Mcf2,0,1
Olfr16,0,1
Klhl33,0,1
Gm5416,0,1
Dkk2,0,1
Olfr1442,0,1
Oprm1,0,1
Vmn2r90,0,1
Rab9b,0,1
Pabpn1l,0,1
Kcnip2,0,1
Cox8b,0,1
Gpx5,0,1
1700011I03Rik,0,1
Rs1,0,1
Nt5c1b,0,1
1110017D15Rik,0,1
Klk1b3,0,1
Klk1b16,0,1
Duoxa2,0,1
Vmn2r89,0,1
Ccdc105,0,1
1700029H14Rik,0,1
Gm4832,0,1
Prl2c4,0,1
Prl2c3,0,1
Prl2c2,0,1
Myoz3,0,1
Lalba,0,1
Ang2,0,1
Slco6c1,0,1
Serpini2,0,1
Hdx,0,1
Chrna10,0,1
Pla2g2c,0,1
Hpse2,0,1
Olfr1028,0,1
Msh4,0,1
Oas1d,0,1
Fkbp6,0,1
Nxph2,0,1
Pramel3,0,1
Cma2,0,1
Dok6,0,1
Gprin1,0,1
Pou1f1,0,1
Pramef12,0,1
Gpr123,0,1
Gpr83,0,1
Olfr524,0,1
Klk14,0,1
Il1f5,0,1
Gm15114,0,1
Crabp1,0,1
Nphs2,0,1
Hyal4,0,1
Elfn2,0,1
Nefm,0,1
Nr2e1,0,1
Pla2g4d,0,1
Scrt2,0,1
Olfr849,0,1
Ccdc144b,0,1
Epha8,0,1
Epx,0,1
Fam181a,0,1
Dux,0,1
BB287469,0,1
Etv2,0,1
Cdh8,0,1
Scml2,0,1
Duoxa1,0,1
Bai3,0,1
Olfr212,0,1
Klk4,0,1
Nppb,0,1
Cyp2b23,0,1
Fam159a,0,1
Scnn1b,0,1
Grin1,0,1
Luzp4,0,1
Dlgap2,0,1
Prss28,0,1
Cdx1,0,1
Irx5,0,1
Glipr1l1,0,1
Lrrc7,0,1
Cntnap5a,0,1
Gm13078,0,1
Dbx1,0,1
Gm4027,0,1
Olfr412,0,1
Gm364,0,1
Psg17,0,1
Olfr1384,0,1
Olfr1115,0,1
Ascl4,0,1
Nmbr,0,1
Gm16532,0,1
Pbp2,0,1
Gm15080,0,1
Calb2,0,1
Astl,0,1
Cdrt4,0,1
Nlrp5,0,1
Kcnh1,0,1
Gm15097,0,1
Matn3,0,1
Dmbx1,0,1
Rbpjl,0,1
Gipr,0,1
Ly6h,0,1
Ccdc110,0,1
Lgals12,0,1
Gm15107,0,1
Klhl1,0,1
Il1f8,0,1
Lce1c,0,1
Prlhr,0,1
Nhlh1,0,1
Gabra5,0,1
Gabrr1,0,1
Rhox7,0,1
Gm7073,0,1
Otog,0,1
Olfr1489,0,1
Rhcg,0,1
Obox6,0,1
Galntl5,0,1
Nhlrc4,0,1
Kirrel2,0,1
Cplx1,0,1
Olfr460,0,1
Olfr1475,0,1
Ghrh,0,1
Oca2,0,1
Musk,0,1
Hsd11b2,0,1
Cadm2,0,1
Skor2,0,1
Vmn2r6,0,1
Trim60,0,1
Adam5,0,1
Syce3,0,1
Sgca,0,1
Vmn2r52,0,1
4930469G21Rik,0,1
Vmn2r45,0,1
Tmprss12,0,1
Triml1,0,1
Sult1c1,0,1
Tcl1b2,0,1
Tmem8c,0,1
Sprr3,0,1
Sftpc,0,1
Stk31,0,1
Tll1,0,1
Speer4a,0,1
Tspan11,0,1
Vsx2,0,1
Vwa2,0,1
Shox2,0,1
Vmn2r33,0,1
Vmn2r7,0,1
1700016K19Rik,0,1
Tex19.1,0,1
Sstr5,0,1
Trpc7,0,1
Adam24,0,1
Svop,0,1
Sh3gl2,0,1
Ubqlnl,0,1
Alpi,0,1
Myh4,0,1
Dnajc5b,0,1
Gphb5,0,1
Dhrs2,0,1
Tmem179,0,1
Ifnk,0,1
Sp7,0,1
Lhx9,0,1
Smcp,0,1
Fbxo16,0,1
BC107364,0,1
Svs6,0,1
